titleId	directors	writers
tt0008196	nm0624714	nm0122364,nm0547966
tt0008426	nm0237713	nm1212433
tt0008543	nm0361882	nm0361882,nm0370426
tt0008544	nm0822801	nm0169243,nm0649478
tt0008565	nm0119138	nm0353584,nm0613943
tt0008614		nm6955979,nm0687742,nm0853042,nm2175861,nm2626263
tt0008687	nm0853336	nm0878494,nm0412257
tt0008825	nm0458837,nm0407778	nm0263912,nm0296193,nm1802888
tt0008836	nm0304843	nm0529481,nm0866243
tt0008975	nm0000779	nm0000779
tt0009020	nm0869665	nm0406585,nm0537510,nm0869665
tt0009205	nm0135052	nm0135052,nm0558923,nm0923585
tt0009259	nm0160280	nm0160280
tt0009309	nm0461295	nm0017301,nm0561651
tt0009369	nm0428059,nm0949648	nm0215874,nm0370271
tt0009470	nm0636076	nm0027367,nm0256639
tt0009544	nm0115218	nm0595569,nm0444508,nm0662701
tt0009721	nm0291387,nm0291548	nm0566338,nm0829044
tt0009764	nm0319401	
tt0009879	nm0853336	nm0547966,nm0599844
tt0009922	nm0373614	nm0527568,nm0823837
tt0009968	nm0000428	nm0121885,nm0000428
tt0010061	nm0686859	nm0588338
tt0010208	nm0000485	nm0067584,nm0432653,nm0519029
tt0010209	nm0006276	nm0528351,nm0809633
tt0010265	nm0275421	nm0275421
tt0010323	nm0927468	nm0562346,nm0417917
tt0010386	nm0454535	nm0517786
tt0010391	nm0000779	nm0000779,nm0117018
tt0010418	nm0001124	nm0534221,nm0057381
tt0010472	nm1419257,nm0932134	nm0239426
tt0010532	nm0357872	nm0591753,nm0912580
tt0010548	nm0154352	nm0910021,nm0926417,nm0073592
tt0010651	nm0587754	nm0141904,nm0152156,nm0266444,nm0813905,nm0949617
tt0010654	nm0744504	nm0837989
tt0010674	nm0167032	nm0122364,nm0265572
tt0010844	nm0869665	nm0175676,nm0299154
tt0010953	nm0921244	nm0107200,nm0462762
tt0010962	nm0523932	nm0266183,nm0473134
tt0011001	nm0002061	nm0002042,nm0254674
tt0011058	nm0281487,nm0281502	nm0281502
tt0011069	nm0102783	nm0717281,nm0355582,nm0166693
tt0011130	nm0731910	nm0829044,nm0073238,nm0838370,nm0928492
tt0011131	nm0370746	nm0370746,nm0829044
tt0011309	nm0002061	nm0236279,nm0254674,nm1123587
tt0011317	nm0097648	nm0403595,nm0495461,nm0547966
tt0011387	nm0869665,nm0113284	nm0178126,nm0227062
tt0011439	nm0629243	nm0191547,nm0001196,nm1491939
tt0011506	nm0279404	nm0279404
tt0011520	nm0073239	nm0870544
tt0011541	nm0000036,nm0166836	nm0166836,nm0000036
tt0011588	nm0694260	nm0692108,nm0193693,nm0547966
tt0011604	nm0466099	nm0878494,nm0083742
tt0011651	nm0385171	nm0385171,nm0091785
tt0011679	nm0629243	nm0837989
tt0011785	nm0869665	nm0299154,nm0829044
tt0011841	nm0000428	nm0662461,nm0103755,nm0342604,nm0446189,nm0000428
tt0011849	nm0002179	nm0585502,nm0860152
tt0011886	nm0104197	nm0111577,nm0822627
tt0011907	nm0002061	nm0236279
tt0011973	nm0807871	nm0786564,nm0156318,nm0183968,nm0156328
tt0011998	nm0376221	nm0567346,nm0810367,nm0648688,nm0940820
tt0012027	nm0806605	nm0241414,nm0558923
tt0012091	nm0746460	nm0253652,nm0588341
tt0012189	nm0686421	nm0556571,nm0552123
tt0012249	nm0300544,nm0769942	nm0313819,nm0000636,nm0898985
tt0012305	nm0717046	nm0103432,nm0588505
tt0012329	nm0050846	nm0050846,nm0111576
tt0012349	nm0000122	nm0000122
tt0012350	nm0382730,nm0176699	nm0770337,nm0925481
tt0012494	nm0000485	nm0000485,nm0902376
tt0012532	nm0000428	nm0257866,nm0180077,nm0000428
tt0012538	nm0115218	nm0103024,nm0115218,nm0399203
tt0012543	nm0166836,nm0000036	nm0166836,nm0000036
tt0012581		
tt0012645	nm0118266	nm0118266,nm0241416
tt0012730	nm0058022	nm0494673,nm0725021,nm0817809
tt0012752	nm0629243	nm0241416,nm0461241,nm0940689,nm0001196
tt0012920	nm0334918	nm0075318,nm0756814
tt0012952	nm0629243,nm0002188	nm0087658,nm0193704,nm0558923
tt0012998	nm0454535,nm0569645	nm0170401,nm0518844
tt0013014	nm0000370	nm0674518,nm0679449
tt0013051	nm0281808	nm0332539
tt0013076	nm0117065	nm0406585,nm0623417
tt0013221	nm0075960,nm0006276	nm0058939,nm0240534,nm0430756
tt0013304	nm0279404	nm0279404
tt0013332	nm0869665	nm0085806,nm0715512,nm0612580,nm0321216,nm0869665
tt0013427	nm0280904	nm0280878,nm0280904
tt0013450	nm0515979	nm0002042,nm0515979,nm0917949,nm0031033
tt0013469	nm0118266	nm0118266,nm0611124,nm0000636
tt0013494	nm0001908	nm12525892
tt0013555	nm0446054	nm0708956
tt0013556	nm0245385	nm0001196,nm0202617,nm0245385,nm0461241,nm0940689
tt0013592	nm0286379	nm0824699,nm0881333,nm0521002
tt0013597	nm0662032	nm0114991,nm0236279,nm0265572,nm0319069
tt0013599	nm0281487	
tt0013607	nm0721840	nm0721840
tt0013817	nm0001124	nm0534221
tt0013908	nm0413164	nm0413164,nm0518711,nm10950558
tt0014051	nm0694260	nm0242802,nm0671163,nm0887429
tt0014068	nm0454771	nm0332539
tt0014142	nm0941637	nm0401076,nm0790622,nm0522871,nm0730929
tt0014339	nm0325670,nm0009257	nm0325670,nm0695870
tt0014398	nm0046082	nm0002316,nm0741358,nm0933133
tt0014440	nm0002271	nm0754581,nm0325135
tt0014532	nm0001124	nm0534221
tt0014538	nm0166836,nm0000036	nm0115669,nm0593477,nm0369841,nm0000036
tt0014560	nm0281487	
tt0014650	nm0607864	nm0062738,nm0152165
tt0014651	nm0749484	nm0697880,nm0923585
tt0014667	nm0250034	nm0001008,nm0174690,nm0727999,nm0810256
tt0014706	nm0210352	nm0073238
tt0014752	nm0113284	nm0014703,nm0697880
tt0014759	nm0807871,nm0807236	nm0754581,nm0683354,nm0837989
tt0014811	nm0281487	nm0281502
tt0014968	nm0896542	nm0543122
tt0015064	nm0003638	nm0562346
tt0015071	nm0227020	nm0265572,nm0374123,nm0403398
tt0015117	nm0122944	nm0267876,nm0806061,nm0878338
tt0015119	nm0523932	nm0075960,nm0773083
tt0015136	nm0003433	nm0051911,nm0902376,nm0003433
tt0015163	nm0187981,nm0000036	nm0115669,nm0593477,nm0369841
tt0015168	nm0250053	nm0860442,nm0870571,nm0774605
tt0015224	nm0107543	nm0057381,nm0325135
tt0015310	nm0515979	nm0754581,nm0370271,nm0031033
tt0015361	nm0001178	nm0017893,nm0001178,nm0470402,nm0687244
tt0015394	nm0624714	nm0362762,nm0267913
tt0015400	nm0909825	nm0940689,nm0001196,nm0008280,nm0640884
tt0015411	nm0205984	nm0026153
tt0015456	nm0281487	
tt0015532	nm0002569,nm0718201	nm0718201
tt0015589	nm0694260	nm0364668,nm0725017
tt0015634	nm0584778	nm0584778
tt0015643	nm0002118	nm0364668,nm0641301,nm0837989,nm0210352
tt0015648	nm0001178	nm0012810,nm0001178,nm0017893,nm0038595,nm0872308
tt0015684	nm0097648	nm0164856,nm0560857
tt0015693	nm0376221	nm0114212,nm0170401,nm0558923,nm0708118
tt0015777	nm0736610	nm0591791,nm0413821
tt0015841	nm0628345,nm0853130	nm0853130,nm0928514,nm0340599,nm0924065,nm0336984,nm0516001
tt0015863	nm0000036	nm0000036,nm0623640,nm0134252
tt0015864	nm0000122	nm0000122
tt0015873	nm0178260,nm0774325	nm0142579,nm0708920
tt0015926	nm0382476	nm0382476
tt0016037	nm0281808	nm0175676,nm0401429,nm0751246
tt0016039	nm0398464	nm0236279,nm0265572
tt0016123	nm0922327	nm0922327,nm0928108,nm0533102,nm0448978,nm0837989
tt0016220	nm0432216,nm0151606,nm0781292,nm0480677	nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473
tt0016283	nm0250034	nm0115669,nm0317319,nm0727999
tt0016297	nm0487237	nm0487237
tt0016308	nm0000428	nm0232704,nm0357028
tt0016338	nm0208113,nm0760547	nm0353584,nm0760547,nm0838820
tt0016395	nm0454771	nm0547966,nm0698989
tt0016461	nm0007215,nm0366586	nm0263346,nm0837989
tt0016463	nm0671501,nm0734169	nm0307819
tt0016491	nm0275494	nm0212511,nm0275494,nm0741147
tt0016524	nm0872868	nm0518711,nm0613848
