titleId,titleType,originalTitle,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1692486,movie,Carnage,2011.0,,80.0,"Comedy,Drama",7.2,123341
tt2494176,tvEpisode,Carnage,2013.0,,,"Action,Adventure,Fantasy",9.0,11
tt2551348,tvEpisode,Carnage,2013.0,,23.0,"Action,Adventure,Animation",7.9,157
tt4237402,short,Carnage,2014.0,,,"Action,Animation,Short",6.5,38
tt6667360,movie,Carnage: Swallowing the Past,2017.0,,68.0,Comedy,7.8,1403
tt0099223,video,Carnal Crimes,1991.0,,94.0,Thriller,4.3,242
tt0066892,movie,Carnal Knowledge,1971.0,,98.0,Drama,7.0,12219
tt0261601,movie,Carnal Knowledge,1970.0,,,Drama,6.2,41
tt0280245,tvSeries,Carnal Knowledge,1996.0,,60.0,Game-Show,5.4,19
tt0750295,tvEpisode,Carnal Knowledge,1992.0,,24.0,"Comedy,Drama,Family",8.1,241
tt7069294,tvEpisode,Carnal Knowledge,2018.0,,,"Comedy,Documentary,History",7.8,38
tt0251005,movie,Carnivore,2000.0,,80.0,"Horror,Sci-Fi",2.4,592
tt12343956,short,Carnivore,2020.0,,,"Drama,Short",4.8,21
tt1308102,movie,Carnivore,2008.0,,83.0,Drama,5.5,16
tt2424946,short,Carnivore,2012.0,,10.0,"Crime,Short",7.6,7
tt4146766,short,Carnivore,2014.0,,27.0,"Drama,Horror,Short",7.3,49
tt9261382,short,Carnivore,2018.0,,13.0,"Short,Thriller",5.7,44
tt0106521,movie,Carnosaur,1993.0,,83.0,"Horror,Sci-Fi",3.6,3948
tt8448440,tvEpisode,Carnosaur,2018.0,,24.0,Comedy,8.8,7
tt0112634,movie,Carnosaur 2,1995.0,,83.0,"Action,Horror,Sci-Fi",3.7,2037
tt0460737,tvMovie,Carol Channing and Pearl Bailey: On Broadway,1969.0,,60.0,Musical,7.6,43
tt0024956,movie,Carolina,1934.0,,85.0,"Comedy,Romance",6.3,77
tt0289889,movie,Carolina,2003.0,,96.0,"Comedy,Drama,Romance",6.1,4073
tt0480517,short,Carolina,2003.0,,15.0,Short,6.0,21
tt0101549,tvMovie,Carolina Skeletons,1991.0,,93.0,"Crime,Drama",6.3,402
tt0049055,movie,Carousel,1956.0,,128.0,"Drama,Fantasy,Musical",6.6,5929
